node_number,x_coordinate,y_coordinate,z_coordinate,total_pressure,velocity_magnitude,x_velocity,y_velocity,z_velocity,turb_kinetic_energy,turb_intensity,turb_diss_rate,viscosity_turb,wall_shear,strain_rate_mag
1,2.61E-02,2.45E-03,-1.85E-07,6.57E+04,1.02E-04,8.66E-05,-5.04E-05,-2.13E-05,5.64E+01,6.13E+00,1.47E+04,2.41E+01,0.00E+00,7.05E-02
2,2.51E-02,-5.00E-03,8.96E-09,6.52E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,6.61E+03,5.48E+01,2.89E+02,7.62E-03
3,-1.00E-14,-5.00E-03,-9.68E-09,6.88E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+01,6.13E+00,4.47E+02,3.30E+02,4.07E+02,2.75E-03
4,4.99E-04,-5.00E-03,-9.66E-09,6.92E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,2.07E+03,2.23E+02,4.06E+02,3.73E-03
5,9.99E-04,-5.00E-03,-9.64E-09,6.93E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.42E+03,1.06E+02,4.03E+02,5.33E-03
6,1.50E-03,-5.00E-03,-9.62E-09,6.90E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.87E+03,9.22E+01,4.00E+02,6.05E-03
7,2.00E-03,-5.00E-03,-9.60E-09,6.89E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.89E+03,9.18E+01,3.96E+02,5.96E-03
8,2.50E-03,-5.00E-03,-9.58E-09,6.88E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.64E+03,9.80E+01,3.92E+02,5.64E-03
9,3.00E-03,-5.00E-03,-9.55E-09,6.87E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.28E+03,1.09E+02,3.89E+02,5.45E-03
10,3.50E-03,-5.00E-03,-9.53E-09,6.86E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.07E+03,1.16E+02,3.86E+02,5.57E-03
11,4.00E-03,-5.00E-03,-9.51E-09,6.86E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.22E+03,1.11E+02,3.84E+02,6.04E-03
12,4.49E-03,-5.00E-03,-9.49E-09,6.84E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.59E+03,9.97E+01,3.81E+02,6.72E-03
13,4.99E-03,-5.00E-03,-9.47E-09,6.83E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.96E+03,9.02E+01,3.78E+02,7.47E-03
14,5.49E-03,-5.00E-03,-9.45E-09,6.81E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.16E+03,8.56E+01,3.75E+02,8.12E-03
15,5.99E-03,-5.00E-03,-9.43E-09,6.80E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.21E+03,8.46E+01,3.72E+02,8.57E-03
16,6.49E-03,-5.00E-03,-9.41E-09,6.79E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.18E+03,8.52E+01,3.70E+02,8.85E-03
17,6.99E-03,-5.00E-03,-9.39E-09,6.77E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.08E+03,8.75E+01,3.67E+02,8.95E-03
18,7.49E-03,-5.00E-03,-9.36E-09,6.77E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.87E+03,9.23E+01,3.65E+02,8.90E-03
19,7.99E-03,-5.00E-03,-9.34E-09,6.76E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.62E+03,9.86E+01,3.63E+02,8.77E-03
20,8.49E-03,-5.00E-03,-9.32E-09,6.76E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.44E+03,1.04E+02,3.61E+02,8.67E-03
21,8.99E-03,-5.00E-03,-9.30E-09,6.75E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.40E+03,1.05E+02,3.60E+02,8.65E-03
22,9.49E-03,-5.00E-03,-9.28E-09,6.75E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.51E+03,1.02E+02,3.58E+02,8.64E-03
23,9.99E-03,-5.00E-03,-9.26E-09,6.74E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.75E+03,9.53E+01,3.56E+02,8.59E-03
24,1.05E-02,-5.00E-03,-9.24E-09,6.72E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.06E+03,8.80E+01,3.53E+02,8.52E-03
25,1.10E-02,-5.00E-03,-9.22E-09,6.71E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.38E+03,8.15E+01,3.51E+02,8.49E-03
26,1.15E-02,-5.00E-03,-9.20E-09,6.70E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.67E+03,7.65E+01,3.48E+02,8.43E-03
27,1.20E-02,-5.00E-03,-9.17E-09,6.69E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.89E+03,7.30E+01,3.44E+02,8.20E-03
28,1.25E-02,-5.00E-03,-9.15E-09,6.69E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,5.02E+03,7.10E+01,3.41E+02,7.87E-03
29,1.30E-02,-5.00E-03,-9.13E-09,6.68E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,5.06E+03,7.05E+01,3.37E+02,7.65E-03
30,1.35E-02,-5.00E-03,-9.11E-09,6.68E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.96E+03,7.19E+01,3.33E+02,7.62E-03
31,1.40E-02,-5.00E-03,-9.09E-09,6.67E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.74E+03,7.53E+01,3.30E+02,7.74E-03
32,1.45E-02,-5.00E-03,-9.07E-09,6.66E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.46E+03,8.01E+01,3.26E+02,8.04E-03
33,1.50E-02,-5.00E-03,-9.05E-09,6.65E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,4.18E+03,8.53E+01,3.23E+02,8.46E-03
34,1.55E-02,-5.00E-03,-9.03E-09,6.64E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.89E+03,9.18E+01,3.20E+02,8.86E-03
35,1.60E-02,-5.00E-03,-9.01E-09,6.63E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.57E+03,1.00E+02,3.17E+02,9.12E-03
36,1.65E-02,-5.00E-03,-8.98E-09,6.62E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,3.26E+03,1.09E+02,3.15E+02,9.20E-03
37,1.70E-02,-5.00E-03,-8.96E-09,6.61E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.56E+01,6.13E+00,2.98E+03,1.20E+02,3.13E+02,9.13E-03
